,pickup_datetime,dropoff_datetime,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_distance_miles,fare_amount,passenger_count,payment_type
0,2023-02-20 17:27:00,2023-02-20 17:49:00,40.808941,-73.914482,40.807336,-73.90527,1.03,5.84$,5.0,Credit Card
1,2023-02-28 19:41:00,2023-02-28 20:07:00,40.685842,-73.855449,40.663358,-73.826745,4.02,15.6£,4.0,Unknown
2,2023-02-14 08:37:00,2023-02-14 09:07:00,40.668055,-74.04505,40.642572,-74.055617,3.04,2192.65¥,5.0,Credit Card
3,2023-01-16 23:54:00,2023-01-17 00:40:00,40.765394,-73.753324,40.775285,-73.775441,2.67,0,4.0,Credit Card
4,2023-02-11 01:16:00,2023-02-11 01:35:00,40.815841,-73.727328,40.836115,-73.746976,3.11,13.7€,3.0,Credit Card
5,2023-01-09 06:27:00,2023-01-09 06:55:00,40.726932,-73.857315,40.752378,-73.885385,4.18,10.08£,4.0,Credit Card
6,2023-01-11 20:24:00,2023-01-11 20:41:00,40.894229,-73.956193,40.88752,-73.93676,2.27,10.6$,2.0,Credit Card
7,2023-01-02 06:40:00,2023-01-02 07:02:00,40.805449,-73.703416,40.831748,-73.728847,4.03,2712.12¥,4.0,Cash
8,2023-01-17 06:44:00,2023-01-17 07:24:00,40.74428,-73.915882,40.763468,-73.892262,3.36,13.06$,4.0,Credit Card
9,2023-02-02 03:25:00,2023-02-02 04:07:00,40.717635,-73.807221,40.713078,-73.834314,3.03,10.19$,4.0,Credit Card
10,2023-01-06 09:08:00,2023-01-06 09:57:00,40.702953,-73.808517,40.697333,-73.789718,2.16,1905.77¥,4.0,Cash
11,2023-02-07 13:55:00,2023-02-07 14:36:00,40.818715,-73.897992,40.808724,-73.916246,2.3,6.7£,4.0,Credit Card
12,2023-01-20 17:12:00,2023-01-20 17:19:00,40.731572,-73.980295,40.705719,-74.00891,4.25,2769.5¥,1.0,Credit Card
13,2023-02-24 00:50:00,2023-02-24 01:39:00,40.617903,-73.711697,40.588487,-73.699605,3.51,11.08£,2.0,Cash
14,2023-01-14 10:05:00,2023-01-14 10:39:00,48.04893509325423,-113.28162289293275,43.59966866410038,-81.68120451342048,3.7,2834.62¥,5.0,Credit Card
15,2023-01-27 18:36:00,2023-01-27 19:32:00,28.05893803283254,-110.34117288197089,46.178180365735045,-82.48602738616825,2.1,8.64£,,Credit Card
16,2023-02-21 04:26:00,2023-02-21 05:04:00,26.495755622641752,-120.12685199854285,37.96972058526002,-89.32341488209198,3.3,2017.42¥,3.0,Credit Card
